Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),WHEAT AREA (1000 ha),SORGHUM AREA (1000 ha),PEARL MILLET AREA (1000 ha),MAIZE AREA (1000 ha),FINGER MILLET AREA (1000 ha),TOTAL AREA (1000 ha)
64,1966,5,Karnataka,Bangalore,0.2,0,0.1,0,0.4,-1,0.7
64,1967,5,Karnataka,Bangalore,1.2,0,0.9,0,3.3,-1,5.4
64,1968,5,Karnataka,Bangalore,0.3,0.2,1.9,0,6.4,-1,8.8
64,1969,5,Karnataka,Bangalore,0.8,1,1.7,0,5.2,-1,8.7
64,1970,5,Karnataka,Bangalore,2.5,0.2,0.7,0,12.1,-1,15.5
64,1971,5,Karnataka,Bangalore,4.6,0.5,0.2,0,14.2,-1,19.5
64,1972,5,Karnataka,Bangalore,9.3,0.4,0.3,0,7.1,-1,17.1
64,1973,5,Karnataka,Bangalore,14.5,0.5,0.9,0,8.9,-1,24.8
64,1974,5,Karnataka,Bangalore,14.6,0.8,0.7,0,9.3,-1,25.4
64,1975,5,Karnataka,Bangalore,23.8,0.5,0.6,0,19.1,-1,44
64,1976,5,Karnataka,Bangalore,6,0.4,0.1,0,10.3,-1,16.8
64,1977,5,Karnataka,Bangalore,26.7,0.6,0.2,0,18.8,-1,46.3
64,1978,5,Karnataka,Bangalore,20.5,0.4,0,0,17.3,-1,38.2
64,1979,5,Karnataka,Bangalore,23.6,0.2,0,0,11.4,-1,35.2
64,1980,5,Karnataka,Bangalore,15.7,0,0,0,11.2,-1,26.9
64,1981,5,Karnataka,Bangalore,28.1,0.3,0.2,0,9.8,-1,38.4
64,1982,5,Karnataka,Bangalore,19.8,0.4,0.2,0,10.8,-1,31.2
64,1983,5,Karnataka,Bangalore,24.4,0.2,0.1,0,11.6,-1,36.3
64,1984,5,Karnataka,Bangalore,24.2,0.2,0.1,0,9,-1,33.5
64,1985,5,Karnataka,Bangalore,21,0.2,0.1,0,10,-1,31.3
64,1986,5,Karnataka,Bangalore,24.4,0.2,0.1,0,13.9,-1,38.6
64,1987,5,Karnataka,Bangalore,21.1,0.1,0.1,0,10.7,-1,32
64,1988,5,Karnataka,Bangalore,29.1,0,0,0,8.3,-1,37.4
64,1989,5,Karnataka,Bangalore,20.8,0,0,0,6.6,-1,27.4
64,1990,5,Karnataka,Bangalore,15.66,0.03,0,0,5.63,179.21,200.53
64,1991,5,Karnataka,Bangalore,33.25,0.02,0,0,7.43,194.65,235.35
64,1992,5,Karnataka,Bangalore,24.45,0.01,0,0,6.68,184.61,215.75
64,1993,5,Karnataka,Bangalore,28.01,0.01,0,0,6.94,184.78,219.74
64,1994,5,Karnataka,Bangalore,13.96,0,0,0,7.31,171.46,192.73
64,1995,5,Karnataka,Bangalore,16.54,0,0,0,7.28,193.44,217.26
64,1996,5,Karnataka,Bangalore,22.73,0.01,0,0,7,193.68,223.42
64,1997,5,Karnataka,Bangalore,20.01,0,0,0,6.11,178.96,205.08
64,1998,5,Karnataka,Bangalore,27.68,0,0,0,4.99,4.87,37.54
64,1999,5,Karnataka,Bangalore,25.3,0,0,0,5.11,6.37,36.78
64,2000,5,Karnataka,Bangalore,29.28,0,0,0,6.7,195.1,231.08
64,2001,5,Karnataka,Bangalore,19.54,0,0,0,7.04,187.7,214.28
64,2002,5,Karnataka,Bangalore,8.92,0,0,0,5.5,138.51,152.93
64,2003,5,Karnataka,Bangalore,9.14,0,0.25,0,7.85,146.9,164.13
64,2004,5,Karnataka,Bangalore,12.75,0,0,0,8.58,175.03,196.36
64,2005,5,Karnataka,Bangalore,15.36,0,0,0,10.28,175.65,201.29
64,2006,5,Karnataka,Bangalore,9.93,0,0,0,7.98,113.3,131.21
64,2007,5,Karnataka,Bangalore,10.22,-1,0,0,11.19,150.65,172.04
64,2008,5,Karnataka,Bangalore,10.94,0,0,0,13.26,147.51,171.72
64,2009,5,Karnataka,Bangalore,12.02,0,0,0,13.59,142.62,168.24
65,1966,5,Karnataka,Kolar,0.5,0,0.1,0,0.8,-1,1.4
65,1967,5,Karnataka,Kolar,1.8,0,1.6,0,4.3,-1,7.7
65,1968,5,Karnataka,Kolar,1.7,0.1,6.5,0.1,5.7,-1,14.1
65,1969,5,Karnataka,Kolar,2.2,0.8,8.3,0.2,7.3,-1,18.8
65,1970,5,Karnataka,Kolar,2.7,0.5,1,0.7,8.2,-1,13.1
