Dist Code,Year,State Code,State Name,District,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
64,1966,5,Karnataka,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1967,5,Karnataka,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1968,5,Karnataka,Bangalore,-1,70.4,-1,66.5,-1,-1,80.2,-1,130.8,-1,-1,-1,-1,-1,-1,-1,-1
64,1969,5,Karnataka,Bangalore,30,58.6,-1,-1,-1,-1,70.5,-1,124.8,-1,139.6,-1,300.9,104.8,-1,-1,-1
64,1970,5,Karnataka,Bangalore,-1,62.5,-1,-1,-1,-1,67.6,-1,91.8,-1,136,176,178.8,114.6,-1,-1,-1
64,1971,5,Karnataka,Bangalore,-1,66.5,-1,-1,-1,-1,67.1,-1,-1,-1,112.7,195.3,139,117.6,-1,95,-1
64,1972,5,Karnataka,Bangalore,-1,83.6,-1,-1,-1,-1,92.3,-1,-1,-1,155.4,224,198.6,194.3,-1,110,-1
64,1973,5,Karnataka,Bangalore,-1,132.7,-1,-1,-1,-1,130.5,-1,-1,-1,236,319.1,236.8,265.8,-1,115.5,-1
64,1974,5,Karnataka,Bangalore,-1,150.2,-1,-1,-1,-1,168.1,-1,-1,-1,228.9,346.7,280.9,192.6,-1,150,-1
64,1975,5,Karnataka,Bangalore,-1,101.4,-1,-1,-1,77,83.8,-1,-1,-1,156.9,315,-1,122.2,-1,-1,-1
64,1976,5,Karnataka,Bangalore,-1,122.7,-1,-1,-1,110.9,131.6,-1,-1,-1,190.1,-1,-1,252.1,-1,-1,-1
64,1977,5,Karnataka,Bangalore,-1,100.8,-1,-1,-1,104.3,100.1,-1,-1,-1,223,326.9,-1,196.1,-1,-1,-1
64,1978,5,Karnataka,Bangalore,-1,97.4,-1,-1,-1,90.3,92,-1,-1,-1,213.7,291.8,-1,170.6,-1,-1,-1
64,1979,5,Karnataka,Bangalore,-1,103.1,-1,-1,-1,102.4,99.5,-1,-1,-1,260.9,451.9,-1,253.2,-1,-1,-1
64,1980,5,Karnataka,Bangalore,-1,132.7,-1,-1,-1,136.8,167.4,-1,-1,-1,315.7,467.7,-1,328.3,-1,-1,-1
64,1981,5,Karnataka,Bangalore,-1,150.7,-1,-1,-1,137.2,154.1,-1,-1,-1,352.9,471.3,-1,372,-1,-1,-1
64,1982,5,Karnataka,Bangalore,-1,157.3,-1,-1,-1,157.4,165.4,-1,-1,-1,355.2,-1,-1,333.4,-1,-1,-1
64,1983,5,Karnataka,Bangalore,-1,178.9,-1,-1,-1,157.1,166.5,-1,-1,-1,370.6,475,-1,439.7,-1,-1,-1
64,1984,5,Karnataka,Bangalore,-1,161.6,-1,-1,-1,-1,155.9,-1,-1,-1,468.8,676.2,-1,380,-1,21.5,-1
64,1985,5,Karnataka,Bangalore,-1,191.3,-1,-1,187.8,-1,165.6,-1,-1,-1,463.3,-1,-1,306.9,-1,-1,-1
